sequence_id,address,tx_type,tokenid,amount,rate,blocktimestamp,pool
1787,0xfe12948B55F1Da3c427a962cD260b3608211679E,Deposit,0x1c38,500.0,0.08,1666257420,ZigZag-USDC-2Mo
1789,0xf58E9E72351FDD2D60D23b6D06ab2D25f63138E1,Deposit,0x1c36,100.1,0.04,1666248177,ZigZag-USDC-2Mo
1797,0xD724AE2FfF0f3AB75715D2e554aeb1E96D47249f,Deposit,0x1c2e,125.2,0.04,1666177839,ZigZag-USDC-2Mo
1805,0xf5Fe364D18F4a5A53BADCe9a046ba74cfC97f6Fb,Deposit,0x1c28,100.424453,0.05,1666137695,ZigZag-USDC-2Mo
1819,0x93Be98c0b66629cf12aDe6866111CDC51fFbcab3,Deposit,0x1c1f,100.0,0.02,1666081747,ZigZag-USDC-2Mo
1849,0x72f4EA8603779167039f8E50bb32A092E81c802b,Deposit,0x1c09,50.0,0.04,1666061888,ZigZag-USDC-2Mo
1854,0x6039c8D7dd98Ac2C48D9EE3fC026e016d18a665B,Deposit,0x1c07,150.0,0.04,1666050945,ZigZag-USDC-2Mo
1862,0xe308eE20eE2528830f53364E84B47e0ed08d4efA,Deposit,0x1c03,105.087132,0.04,1666025057,ZigZag-USDC-2Mo
1895,0xfbb073e09D84970d1eFe099aBBE9E626f8FF7024,Deposit,0x1be7,100.0,0.1,1666008881,ZigZag-USDC-2Mo
1905,0x584BBb33b6Ce22DBB8BA8c3CB02F90a88F88451c,Deposit,0x1be0,10.0,0.05,1665997870,ZigZag-USDC-2Mo
1910,0x9133F68392A8Dc204Fa8DD2e023642D769a24096,Deposit,0x1bdf,7.998996,0.04,1665991860,ZigZag-USDC-2Mo
1911,0x62261fFE617505213c5086f0ED87e561a2bbcF4f,Deposit,0x1bde,50.0,0.03,1665991358,ZigZag-USDC-2Mo
1917,0xb8aC6ef01a6191C8689AD756B4a41dcaD7021390,Deposit,0x1bdc,104.940302,0.06,1665977875,ZigZag-USDC-2Mo
1938,0x56DCD7432283AE6D8e3dCEfD1E38ea12311B4Ba3,Deposit,0x1bd5,20.000662,0.04,1665931469,ZigZag-USDC-2Mo
1939,0x9925013484b5e65772094aA61145EB99ceC66463,Deposit,0x1bd4,38.0,0.15,1665930204,ZigZag-USDC-2Mo
1941,0xe49D0d8CF01Ea366D804CC84738A768F0b8b175e,Deposit,0x1bd3,19.694969,0.02,1665927379,ZigZag-USDC-2Mo
1972,0xa3b2fc7832A5DA6C1Cd4290D4055b00bF99d1C68,Deposit,0x1bc5,252.021043,0.04,1665870255,ZigZag-USDC-2Mo
1977,0x96F245034302A5A582a1D8e989a754e6E2260BF5,Deposit,0x1bc3,30.0,0.07,1665866574,ZigZag-USDC-2Mo
1990,0x1BDa0a00d113eee140757AA5603c7ccA15295153,Deposit,0x1bbd,53.42044,0.04,1665854717,ZigZag-USDC-2Mo
2021,0x63a370ABfC8Ed6132025f6dC8244DDF6205C174B,Deposit,0x1bb1,10.0,0.02,1665834410,ZigZag-USDC-2Mo
2022,0x446Ccd4633512f321B400cF89c1877F8307F6C26,Deposit,0x1baf,51.0,0.14,1665831651,ZigZag-USDC-2Mo
2028,0x13C9A6EFc6ef52af414cD3b53F0528F17322c3c6,Deposit,0x1bad,30.0,0.06,1665827463,ZigZag-USDC-2Mo
2040,0x14D15F15f1151d82E0aa5f2443b7dA68F981424C,Deposit,0x1baa,111.0,0.03,1665822023,ZigZag-USDC-2Mo
2134,0x565D380416a2889b817C6Eb493f6DeeF029212Aa,Deposit,0x1b96,30.0,0.05,1665805503,ZigZag-USDC-2Mo
2151,0xA9F51db4725f0EAf9d530Bae8db0fd858D505547,Deposit,0x1b90,504.0,0.02,1665798177,ZigZag-USDC-2Mo
2153,0x373a8E94e6341B9E6048118e6bF9520CAEC6D7FF,Deposit,0x1b8e,50.0,0.04,1665797180,ZigZag-USDC-2Mo
2154,0x463c414d655B0a6189f355AC5BCC795A6C70ddAd,Deposit,0x1b8d,50.0,0.04,1665797158,ZigZag-USDC-2Mo
2158,0x6146A683cE24574249797E8968f47CB20fF440e7,Deposit,0x1b8b,400.0,0.15,1665796562,ZigZag-USDC-2Mo
2216,0x03dC2032802D71ec0738C3dDF760B784D05C9b37,Deposit,0x1b84,102.291968,0.1,1665780747,ZigZag-USDC-2Mo
2221,0x33B2A0295A48cac80DD6bA59c6880DCB1a9D2784,Deposit,0x1b83,8325.330237,0.05,1665779947,ZigZag-USDC-2Mo
2253,0x9EfF5B715d0E2C0ecDacB029C742dD516A751213,Deposit,0x1b75,157.0,0.02,1665741008,ZigZag-USDC-2Mo
2255,0xd82292F8540e93b417A4a1380c96722719554D41,Deposit,0x1b73,10.1,0.05,1665739988,ZigZag-USDC-2Mo
2257,0xe620502fD3172314E70e75DE23e45e289659944e,Deposit,0x1b72,10.0,0.02,1665735158,ZigZag-USDC-2Mo
2375,0x67815fD7E84FA3754002aBA34D98298cFeEB0eCd,Deposit,0x1b32,10.0,0.15,1665593695,ZigZag-USDC-2Mo
2380,0xFcdB212E7e7588D2dd2cc44C30F6C79fB507DB4B,Deposit,0x1b2e,7.0,0.04,1665585280,ZigZag-USDC-2Mo
2403,0x3EFd1fA3D4e5784648adF7396C3478999ec90249,Deposit,0x1b1f,500.0,0.04,1665566253,ZigZag-USDC-2Mo
2410,0x1dAc9BE25b6A52aAAbE61efB7966c643e4e3e6fE,Deposit,0x1b1a,55.0,0.04,1665559978,ZigZag-USDC-2Mo
2424,0x982ccA896afa193B9411E421174c1613FD202093,Deposit,0x1b0e,125.0,0.04,1665548120,ZigZag-USDC-2Mo
2447,0x2646b8A4F7bfbeF779C834F72f0378400a600558,Deposit,0x1afd,20.0,0.04,1665523095,ZigZag-USDC-2Mo
2449,0x8195deC3b2060841504aE234cFe80A1eeECdAE6D,Deposit,0x1afb,25.0,0.02,1665521435,ZigZag-USDC-2Mo
2507,0xe522E7fcBEd213dBb5af4822b75b49d594f769C4,Deposit,0x1acf,50.0,0.03,1665503018,ZigZag-USDC-2Mo
2510,0xd84eFa36e569977747f7FeD7B71E151Fc0eB77A4,Deposit,0x1ace,50.0,0.03,1665502866,ZigZag-USDC-2Mo
2514,0x0AA2c13Bcd98591Ae0963Ea01b2D3782aE58D9fD,Deposit,0x1acb,50.0,0.04,1665502756,ZigZag-USDC-2Mo
2523,0xAa81a036Bf5a2823dAA2Aadbcc66140fAb29CcE9,Deposit,0x1ac5,10.0,0.08,1665502244,ZigZag-USDC-2Mo
2601,0x5D32E91BE8Ef9FDF1cE926f63Db341418093851e,Deposit,0x1a9c,126.03426,0.04,1665323191,ZigZag-USDC-2Mo
2602,0x5aaB02cCA6F3c89bB2E10749603387c287A115Cb,Deposit,0x1a9b,5.81232,0.03,1665317703,ZigZag-USDC-2Mo
2654,0xEC20749241a29c7f3752d30E14dec845442861D0,Deposit,0x1a8b,39.995086,0.06,1665180820,ZigZag-USDC-2Mo
2656,0x442e783Df75dF94AaA3D88136528810c06DaBae5,Deposit,0x1a89,106.726586,0.1,1665155380,ZigZag-USDC-2Mo
2683,0x113b84cDa038587f0e7a5e6bdb74Cb03CfCc4f23,Deposit,0x1a7c,88.562804,0.04,1665112385,ZigZag-USDC-2Mo
