id,tx_hash,block_number,maker_symbol_id,taker_symbol_id,taker_address,taker_amount,maker_address,maker_amount,created_at
2168744,0x683bf03617de3d96294382b223a1fcd3b1d8e8defe9f4306992ee37dcdf42675,91868,2,173,0x39bb285239fb6836cf6016eb41d72b1869d745fe,3793105,0xf0eafdd514fe0d9d56471770aada0a2f98f40770,1057420017100000000,2022-06-27 08:17:33.305
2168745,0xdeb6261d66ac7cbc3e71da9f5a205a681a92de5838da4638eb308a1a581d2620,91868,2,173,0x80391a73b08ce897990a241602c7f13ddf9b13a4,4208505,0xf0eafdd514fe0d9d56471770aada0a2f98f40770,1200119999900000000,2022-06-27 08:17:04.503
2168750,0xe95d4ff2ffa1d6d71445534c3df6d1c036e60eb0153af8566bc15a80d97f0250,91868,2,173,0x0dcb9f3ba939efa9f15c0b1e4673312554035b71,3865505,0xf0eafdd514fe0d9d56471770aada0a2f98f40770,1100110000000000000,2022-06-27 08:16:18.103
2168756,0x9d910a9a59f3a145556ac02acc8fecd50f9d6110d428ca02b5a4475b4f4d764d,91868,2,173,0x4dc46ee0aac2a82a1efca62143bcf8796a58a7ad,4208505,0xf0eafdd514fe0d9d56471770aada0a2f98f40770,1200119999900000000,2022-06-27 08:15:39.303
2168763,0x7559a9a65b7b5d5d1b24d2b1885c0fd356a028f831c88794f942611d909da467,91868,2,173,0xbddd0848418f9c790b350588e3e7737f1aeaadc1,17247440,0xf0eafdd514fe0d9d56471770aada0a2f98f40770,5000499999000000000,2022-06-27 08:14:24.104
2168789,0xf72041278af1320392bc7c006da5575f065a2d91a6cd45c8f29550362ee179e2,91869,2,173,0x0ff9d267f97c5544f31445fafa496b2d34e16ba4,4191180,0xf0eafdd514fe0d9d56471770aada0a2f98f40770,1200119999900000000,2022-06-27 08:19:38.104
2168793,0x080884efb015a5b73c8e6d03d816a1c63123b3aa5821b0c54f2ada02a1f24a81,91869,2,173,0x7f3d34dd78c3fe27e34f270ef21c94fa4e4ae3fe,4297180,0xf0eafdd514fe0d9d56471770aada0a2f98f40770,1202969287700000000,2022-06-27 08:19:28.105
2168796,0x2d8862f2edc84cb14dc2f5296c24d10724d192d7cd69ce5097fc3f2694d60995,91869,2,173,0x6c5c71cf9b3542595c4c0f23aba7b02e4b12249d,4191180,0xf0eafdd514fe0d9d56471770aada0a2f98f40770,1200119999900000000,2022-06-27 08:19:00.504
2168829,0xfc4bef217cd7d39aa7d740934c870965f98e9f06a5ed90a5e3679aaac36e81d7,91870,2,173,0x73f444a1e28f94ac378590a9ca3d604966d2de2a,3690920,0xf0eafdd514fe0d9d56471770aada0a2f98f40770,1034177481400000000,2022-06-27 08:24:39.704
2168834,0x874fbabead5b17511ed746f8d3bd6f4964bee83aacfbf91d16d4977ebdf04dd0,91870,2,173,0x08843dcf1092ddaf3e6d7c570de8e0a32c5b59e2,9827520,0xf0eafdd514fe0d9d56471770aada0a2f98f40770,2851622163200000000,2022-06-27 08:23:50.503
2168836,0xa4139bae7d9bd3ee6e7ab90cd0fe99ba83c0996692463aef415e6bce45329c7f,91870,2,173,0x08398753378bba3dfc82f4898408cf15c721560a,4177320,0xf0eafdd514fe0d9d56471770aada0a2f98f40770,1200119999900000000,2022-06-27 08:23:38.904
2168844,0xdfe7a1a6d9e317d10b9ec37e6b5d548e00c025e1dc5ede0ca2e365e2d0460451,91871,2,173,0x2062943fc3f18fe45d6695be6904923557e52a96,16548685,0xf0eafdd514fe0d9d56471770aada0a2f98f40770,4807597521000000000,2022-06-27 08:32:10.904
2168905,0xbc0febe24e6bf7abadce314998ef70b6e924ac9cde97d9675a01f096959edd5a,91872,2,173,0xa57e6e37092062f467fef468e1b714beb2c343f7,10115255,0xf0eafdd514fe0d9d56471770aada0a2f98f40770,2928064861700000000,2022-06-27 08:36:13.303
2168910,0xc1b7a22c9e42ac0e5618f71d8ab78b426a0c1992c3c758e386668183a5a4fff3,91872,2,173,0x6aeb8fcc0e4fd7f4625dfd356a8b25aaec12b574,5581045,0xf0eafdd514fe0d9d56471770aada0a2f98f40770,1603573934400000000,2022-06-27 08:35:10.503
2169070,0x8a917dcd17ebd05befdb38f96deb420c6f09132c053b2c21fc205e0ca1c50e5f,91876,2,173,0x68d0740f442ed469b624387d9a9ea7e814b16a6a,17200485,0xf0eafdd514fe0d9d56471770aada0a2f98f40770,4993010484000000000,2022-06-27 08:59:26.503
2169077,0x3f007175362ddebf3aca138d29ec1a6252f1c8045a1bb6c841437e9a9dae4baa,91877,2,173,0xd113e00039d6fc9536b2c7c796efe019b4b19739,37158550,0xf0eafdd514fe0d9d56471770aada0a2f98f40770,10815853471000000000,2022-06-27 09:12:55.303
2169079,0xc69723695d5b2e11feb2768cca39c832b725ddb4a4f831a78eb129c96ee1db1a,91877,2,173,0xb3e4e71ce918393ff48886da7b4a7a70b002dd55,4661589,0xf0eafdd514fe0d9d56471770aada0a2f98f40770,1327232765700000000,2022-06-27 09:12:11.303
2169088,0xc42b5db87c86067e430b0dd4f1472d7ea1be42c50eb36fce15211d6e300b1327,91877,2,173,0x06d50ea710c655e499cab2977543634e309ef4c0,4480625,0xf0eafdd514fe0d9d56471770aada0a2f98f40770,1265217177100000000,2022-06-27 09:09:58.904
2169097,0x817884849f33fc4906eff32498df3fe2a858ebf8649ffd7ea3b1df5b15b8bfaf,91877,2,173,0x44bb44515c2c7da0431490cf0730c7fc162d7c8f,7329525,0xf0eafdd514fe0d9d56471770aada0a2f98f40770,2097064403300000000,2022-06-27 09:08:40.503
2169109,0xbce539f96366cf28629370e71ce8bdd4165f7cb3876ed3fd0e88f2dcf840993f,91878,2,173,0x6c33316d098ecd09202019916060159616835b75,6875785,0xf0eafdd514fe0d9d56471770aada0a2f98f40770,1985670631400000000,2022-06-27 09:18:54.903
2169116,0xd875bff733b913f52af7917efb76dd13b4f72f6c913d3075d17b0aa6eccc3847,91878,2,173,0x641e6a1bb2e8a96aac496f89c15420797028a2a7,36039465,0xf0eafdd514fe0d9d56471770aada0a2f98f40770,10497585551000000000,2022-06-27 09:17:19.704
2169128,0x991cb08d24463aba508e7b06773462540427814b75cafe75580578eda3249115,91878,2,173,0x0cd929079c60fdcb3af959c2bd6afc1d5cb0e0fc,3563925,0xf0eafdd514fe0d9d56471770aada0a2f98f40770,1016559415200000000,2022-06-27 09:15:37.704
2169133,0xe07778a42dfc3757025d5fb6f21cf2153265e6555948f770ae782dfa40166f60,91879,2,173,0xa52cb670e7b05825ebb8d26da906483c31142c24,4084845,0xf0eafdd514fe0d9d56471770aada0a2f98f40770,1160115999900000000,2022-06-27 09:25:08.119
2169153,0xe4e015ed2ddf6020dfb6f7d47374ffa400eb24a7f5670b1c94d5c3ca9622e75a,91879,2,173,0x71d814ebe70d226dabfd8d17e011c65debff205b,5215900,0xf0eafdd514fe0d9d56471770aada0a2f98f40770,1500297454400000000,2022-06-27 09:21:50.903
2169157,0xa61c5c584f7feddb620d12f0a1846eb1524f2c8c1eeb2d80a93e4aced01e5b2a,91879,2,173,0x22bc858e301c864e898cf06d2f383e70d26cdf5e,8341585,0xf0eafdd514fe0d9d56471770aada0a2f98f40770,2413667986300000000,2022-06-27 09:20:32.102
2169159,0xb7053990fb91bd71a203c3c780f2ecbad3879cd63a39aef07eff9eaef5dbb7cb,91879,2,173,0xdb1f6e1ccbf72b4ab5346cafa5da338fd1683a17,3633885,0xf0eafdd514fe0d9d56471770aada0a2f98f40770,1039071760700000000,2022-06-27 09:20:08.504
2169202,0x12d500eb89e5997eeb3c354b2ae88c71aafeaceac42991017c2f9977d0ae2f75,91881,2,173,0xfdf8720a797b2f402323f8782f20eeb5e41e297d,3783405,0xf0eafdd514fe0d9d56471770aada0a2f98f40770,1072183303900000000,2022-06-27 09:37:06.504
2169205,0x36d92591e2ea9a91c2c42fe37d5fe557e78d467ca88f3bb2866d0fbc08e86b0e,91881,2,173,0x5f301553ab1e72d9c20bb3fb4fe9b3adf9f895ce,3684905,0xf0eafdd514fe0d9d56471770aada0a2f98f40770,1043422395600000000,2022-06-27 09:36:48.104
2169221,0x19620ca514b5dcab8d51a62f6db963c613cd8ac82ddc2179225a421d6b62868a,91881,2,173,0x15c3d6298743e3115df3794f6da20ec4079d1eee,21853895,0xf0eafdd514fe0d9d56471770aada0a2f98f40770,6344335193000000000,2022-06-27 09:35:00.508
2169236,0x9c69b43ef6add3a4fdf413cfadf2ac5627143874320fa52ee2c8d8e262a244f8,91882,2,173,0xb0ee517e2da88b6ce35ab8d2a472aa597033a84e,3545350,0xf0eafdd514fe0d9d56471770aada0a2f98f40770,1004850659600000000,2022-06-27 09:43:25.303
2169265,0x1d7f489e7766f3adea669f7c87c47012f78fb87c30a37f6855c2b543b279614c,91882,2,173,0x6a759690be9dff32f420f9f8bebae88a5bf4d038,5762305,0xf0eafdd514fe0d9d56471770aada0a2f98f40770,1650000172200000000,2022-06-27 09:38:34.905
2169392,0x37cb21d7546b441bb86aa4c6deb33aefbc1510706a0a8d787de573e6743b73b8,91886,2,173,0x92eecc3c153159e79a9d42c680261f28be2142b5,3534630,0xf0eafdd514fe0d9d56471770aada0a2f98f40770,1000099999900000000,2022-06-27 10:02:45.703
2169393,0x45801a2d581aec9941ed6b0405891767207c9078ca18f0819e90143ea8d30977,91886,2,173,0xd198d537d9aa3c0b741bff5152be014df835822e,3818535,0x27a2c7121e287478375ec8c64fdfa31e97038c03,1090228219000000000,2022-06-27 10:02:35.303
2169407,0xe0ec29aec45b98f29c5c0a7b3f4d41ae6c78317ee8e75b0cc1d815c5e0c34a0d,91886,2,173,0xa5fea2c20dfda110e7a0d177adbab082d5408772,3621505,0xf0eafdd514fe0d9d56471770aada0a2f98f40770,1030428888800000000,2022-06-27 10:01:04.902
2169409,0xd0fefed58d3bccfbeca836e8aee786e89ce685c9c720f23fe0b832101c99e9f2,91887,2,173,0xc2d1ee9a4ea45552dff1a242782d9ccebc0da23c,5105285,0x27a2c7121e287478375ec8c64fdfa31e97038c03,1451541379200000000,2022-06-27 10:13:43.704
2169458,0xe3898ddda9d22c31e31d6472d9f46f12f560ed45dba5ea7161086449ce8f60c9,91888,2,173,0x62e27ebf008f80727538ca03fe6d45ddb1a2fdb8,7059390,0xd3f6f885e0e66c7efadf8a312a929527a03ea9e0,2016073406400000000,2022-06-27 10:18:24.103
2169463,0xeb15507c25dc7476cc864d225cfdd749e32626b13133a3d6e4826067b1fe76a0,91888,2,173,0x7188285794917b2bd4845f4699a32625780550bf,17497890,0xd3f6f885e0e66c7efadf8a312a929527a03ea9e0,5035457617000000000,2022-06-27 10:17:40.504
2169531,0x044cefc61c2c1bae24833cd4043fa61ec293410fb5029e32e79077512a6cf26c,91890,2,173,0x305ad938a16dcdcab5c8b8b4684258ad69d5b3f2,138505105,0xd3f6f885e0e66c7efadf8a312a929527a03ea9e0,40072872990000000000,2022-06-27 10:34:20.103
